id,ferrouscount,ferroussize,nonferrouscount,nonferroussize,peakvalue,rms,cf,kurtosis,fm4,na4
1,69,20-30,72,30-40,4,3.1,3.53,2.99,1.9,1.24
2,69,20-30,72,30-40,3.89,3.02,4.03,2.95,1.64,1.5
3,69,20-30,72,30-40,3.56,2.98,4.22,2.89,1.24,2.01
4,69,20-30,72,30-40,2.97,2.83,3.89,2.83,1.36,1.76
5,69,20-30,72,30-40,2.65,2.77,3.56,2.77,1.68,1.35
6,69,20-30,72,30-40,2.99,2.89,2.97,3.01,1.95,1.9
7,69,20-30,72,30-40,2.45,3.87,3.2,3.07,1.54,1.64
8,69,20-30,72,30-40,3.65,3.86,2.85,2.95,1.27,1.9
9,69,20-30,72,30-40,3.01,3.02,2.84,2.95,1.36,1.64
10,69,20-30,72,30-40,3.07,3.96,2.68,2.92,1.67,1.53
11,68,20-30,75,30-40,2.85,3.75,2.53,2.89,1.9,1.68
12,68,20-30,75,30-40,2.84,4.35,4.22,2.86,1.64,1.2
13,68,20-30,75,30-40,2.95,4.45,3.89,2.88,1.53,1.43
14,68,20-30,75,30-40,2.89,4.65,4.66,2.98,2.01,1.34
15,68,20-30,75,30-40,2.83,4.87,3.89,3,1.5,1.64
16,68,20-30,75,30-40,2.77,4.88,3.88,3.07,1.55,1.24
17,68,20-30,75,30-40,2.89,5.01,3.87,3.03,1.24,1.67
18,68,20-30,75,30-40,2.95,5.06,3.86,2.88,1.32,1.6
19,68,20-30,75,30-40,2.98,5.25,2.68,2.79,1.62,1.24
20,68,20-30,75,30-40,3,5.63,2.53,2.95,1.34,1.68
21,71,30-40,75,40-50,3.07,5.89,4.22,3.1,1.64,1.2
22,71,30-40,75,40-50,2.98,5.78,3.88,3.02,1.76,0.7
23,71,30-40,75,40-50,3,5.98,2.87,2.98,1.98,2.2
24,71,30-40,75,40-50,3.03,6.02,2.65,2.89,1.45,1.9
25,71,30-40,75,40-50,3.05,5.97,2.99,2.99,1.56,1.64
26,71,30-40,75,40-50,2.99,5.94,2.45,3.06,1.5,1.53
27,71,30-40,75,40-50,2.45,5.93,3.65,3.03,2.2,1.38
28,71,30-40,75,40-50,3.65,5.98,3.85,3.05,1.9,1.83
29,71,30-40,75,40-50,3.85,5.97,3.84,3.08,1.6,1.76
30,71,30-40,75,40-50,2.98,6.03,3.21,3.09,1.24,1.34
31,74,30-40,77,50-60,3.08,6.11,3.63,3.11,1.67,1
32,74,30-40,77,50-60,3.09,5.79,3.99,3.07,1.38,1.64
33,74,30-40,77,50-60,3.11,5.98,3.59,3.06,1.68,1.75
34,74,30-40,77,50-60,2.97,6.05,3.84,3.09,1.2,1.52
35,74,30-40,77,50-60,3.07,6.06,3.83,3.01,1.34,1.36
36,74,30-40,77,50-60,3.01,6.1,3.56,2.99,1.53,1.02
37,74,30-40,77,50-60,2.99,6.12,2.97,2.98,1.73,1.06
38,74,30-40,77,50-60,2.98,5.89,2.83,3.08,1.2,0.85
39,74,30-40,77,50-60,3.1,5.91,2.54,3.09,1.43,0.7
40,74,30-40,77,50-60,3.02,5.89,3.56,3.11,1.36,2.2
41,72,30-40,77,50-60,2.88,5.78,2.97,3.07,1.02,1.9
42,72,30-40,77,50-60,3.02,5.98,3.2,3.06,1.06,1.6
43,72,30-40,77,50-60,2.95,6.02,2.88,2.99,1.11,1.25
