id,ferrouscount,ferroussize,nonferrouscount,nonferroussize,peakvalue,rms,cf,kurtosis,fm4,na4
1,15,0 - 10,18,0 - 10,4,3.1,3.53,2.99,1.9,1.24
2,15,0 - 10,18,0 - 10,3.89,3.02,4.03,2.95,1.64,1.5
3,15,0 - 10,18,0 - 10,3.56,2.98,4.22,2.89,1.24,2.01
4,15,0 - 10,18,0 - 10,2.97,2.83,3.89,2.83,1.36,1.76
5,15,0 - 10,18,0 - 10,2.65,2.77,3.56,2.77,1.68,1.35
6,15,0 - 10,18,0 - 10,2.99,2.89,2.97,3.01,1.95,1.9
7,15,0 - 10,18,0 - 10,2.45,3.87,3.2,3.07,2.13,1.64
8,15,0 - 10,18,0 - 10,3.65,3.86,2.85,2.95,2.29,1.9
9,15,0 - 10,18,0 - 10,3.01,3.02,2.84,2.95,2.44,1.64
10,15,0 - 10,18,0 - 10,3.07,3.96,2.68,2.92,2.57,3.66
11,17,0 - 10,16,0 - 10,2.85,3.75,2.53,2.89,2.69,3.75
12,17,0 - 10,16,0 - 10,2.84,3.26,4.22,2.86,2.68,3.94
13,17,0 - 10,16,0 - 10,2.95,3.54,3.89,2.88,2.69,3.48
14,17,0 - 10,16,0 - 10,2.89,2.53,4.66,2.98,2.75,3.46
15,17,0 - 10,16,0 - 10,2.83,4.22,5.12,3,2.82,3.52
16,17,0 - 10,16,0 - 10,2.77,3.1,5.64,3.07,2.98,3.34
17,17,0 - 10,16,0 - 10,2.89,3.02,5.98,3.03,2.97,3.37
18,17,0 - 10,16,0 - 10,2.95,2.98,5.78,2.88,3.04,3.83
19,17,0 - 10,16,0 - 10,2.98,3,6.02,2.79,3.01,4.2
20,17,0 - 10,16,0 - 10,3,2.98,6.56,2.95,3.42,4.12
21,14,0 - 10,17,0 - 10,3.07,3,6.42,3.1,3.24,3.95
22,14,0 - 10,17,0 - 10,2.98,3.07,6.75,3.02,3.65,3.94
23,14,0 - 10,17,0 - 10,3,3.02,6.84,2.98,3.42,3.92
24,14,0 - 10,17,0 - 10,3.03,2.98,6.95,2.89,3.25,3.89
25,14,0 - 10,17,0 - 10,3.05,2.89,6.45,2.99,3.27,3.42
26,14,0 - 10,17,0 - 10,2.99,3.88,6.79,3.06,3.62,3.54
27,14,0 - 10,17,0 - 10,2.45,3.09,7.21,3.03,3.52,3.52
28,14,0 - 10,17,0 - 10,3.65,2.99,7.34,3.05,3.64,3.25
29,14,0 - 10,17,0 - 10,3.85,2.98,6.98,3.08,3.45,3.84
30,14,0 - 10,17,0 - 10,2.98,3.08,6.87,3.09,3.19,3.48
31,15,0 - 10,15,0 - 10,3.08,3.02,6.89,3.11,3.27,3.68
32,15,0 - 10,15,0 - 10,3.09,2.98,6.56,3.07,3.29,3.56
33,15,0 - 10,15,0 - 10,3.11,2.89,6.67,3.06,3.49,3.72
34,15,0 - 10,15,0 - 10,2.97,2.95,6.86,3.09,3.59,3.21
35,15,0 - 10,15,0 - 10,3.07,2.95,6.96,3.01,3.86,3.19
36,15,0 - 10,15,0 - 10,3.01,2.77,6.76,2.99,3.46,3.39
37,15,0 - 10,15,0 - 10,2.99,3.86,6.43,2.98,3.59,3.64
38,15,0 - 10,15,0 - 10,2.98,2.68,6.48,3.08,3.76,3.46
39,15,0 - 10,15,0 - 10,3.1,2.53,6.49,3.09,3.49,3.56
40,15,0 - 10,15,0 - 10,3.02,3.08,6.59,3.11,3.95,3.78
41,17,0 - 10,14,0 - 10,2.88,2.68,6.73,3.07,3.16,3.84
42,17,0 - 10,14,0 - 10,3.02,2.53,6.18,3.06,3.35,3.54
43,17,0 - 10,14,0 - 10,2.95,4.22,6.72,2.99,3.5,3.56
44,17,0 - 10,14,0 - 10,2.77,3.88,6.77,3.1,3.54,3.21
45,17,0 - 10,14,0 - 10,3.01,3,6.43,3.02,3.66,3.29
46,17,0 - 10,14,0 - 10,2.95,3.07,6.55,2.89,3.75,3.49
47,17,0 - 10,14,0 - 10,2.95,3.26,6.99,2.86,3.94,3.57
48,17,0 - 10,14,0 - 10,2.92,3.98,6.79,2.88,3.48,3.86
49,17,0 - 10,14,0 - 10,2.89,4.06,7.04,2.98,3.46,3.48
50,17,0 - 10,14,0 - 10,2.86,2.88,7.46,2.95,3.52,3.18
51,16,0 - 10,17,0 - 10,2.95,2.98,7.45,2.95,3.34,3.16
52,16,0 - 10,17,0 - 10,2.95,2.95,7.49,2.77,3.37,3.25
53,16,0 - 10,17,0 - 10,2.89,3.05,7.48,3.01,3.83,3.48
54,16,0 - 10,17,0 - 10,2.86,3.08,7.49,3.07,4.2,3.95
55,16,0 - 10,17,0 - 10,4.25,3.09,7.99,3.11,4.12,4.12
56,16,0 - 10,17,0 - 10,2.89,2.86,7.35,2.98,3.95,4.01
57,16,0 - 10,17,0 - 10,2.92,2.88,7.46,3.07,3.94,4.09
